LWLRANK,PLAYER,TEAM,NHLPOS,YPOS,ADP,ADPM,AUC,OWN,EPOS,EADP,EAUC,EOWN,INJ,DAY1AGE,ONG,AAV,CSHPCT,LYSHPCT,PDO,CIPP,LIPP,AEVTOI,APKTOI,APPTOI,ATOI,SHFG,CGP,CG,CA,CPTS,CSOG,3YGP,3YG,3YA,3YPTS,3YH,3YBS,3YFOW,3YSHG,3YSHA,P_G,P_A,P_PTS,P_SOG,P_H,P_BS,P_FOW,P_FOL,P_FOT,P_PIM,P_PPG,P_PPA,P_PPP,P_GWG,P_ATOI,P_PM,TFSI
533,Matt Martin,NYI,L,LW,0,,0,0,"LW,RW",230.1,0,0,,30.4,27,2500000,7.6,9.7,1018,51,57,11.1699,0.2211,0.0423,11.4333,16,637,7,9,16,95,66,6,9,14,298,32,7,0,0,6,13,19,85,277,43,26,39,65,67,0,0,0,1,9.9611,,66.5
534,Trevor van Riemsdyk,CAR,D,D,0,,0,0,D,228.4,0,1,WATCH,28.2,28,2300000,3.6,2.9,977,27,35,13.9682,1.0323,0.0581,15.0585,20.0384,315,4,12,16,102,72,4,13,18,34,113,0,0,0,4,14,18,115,42,96,0,0,0,20,0,0,0,1,16.0607,++,66
535,Carter Rowney,ANA,R,"C,RW",0,,0,0,"RW,C",230,0,0,,30.4,46,1133333,12.2,13.2,1000,73,95,10.5825,1.9011,0.0675,12.5511,18.0161,133,7,12,20,60,53,7,12,19,195,46,259,2,0,9,15,24,75,191,48,234,241,475,17,0,0,0,1,11.2209,,65.25
536,Zemgus Girgensons,BUF,C,"LW,RW",0,,0,0,C,230,0,0,,25.8,31,1600000,7.6,6.4,977,70,70,11.1294,2.4023,0.0796,13.6113,18.1388,420,10,14,23,126,73,7,11,18,150,33,122,1,0,9,15,24,109,146,37,50,73,123,27,0,0,0,1,13.6603,++,65
537,Trevor Daley,DET,D,D,0,,0,0,D,230,0,0,,36,36,3166666,6.4,4.3,1013,21,19,15.8811,2.6117,0.0667,18.5595,26.2954,1015,7,17,24,113,59,7,13,20,31,121,0,1,1,4,10,14,92,30,107,0,0,0,32,0,1,1,1,19.9191,,64.75
538,Brandon Dubinsky,CBJ,C,"C,LW",0,,0,0,"C,LW",230,0,0,,33.5,35,5850000,9.4,9.5,925,67,63,10.9795,1.2945,0.0814,12.3555,19.3114,823,15,28,44,162,68,10,19,29,218,55,694,1,1,7,12,19,94,175,47,567,426,993,45,0,2,2,1,13.8608,,64
539,Korbinian Holzer,ANA,D,D,0,,0,0,D,230,0,0,,31.7,46,850000,4.8,6.7,1040,23,25,13.4879,2.5424,0.0364,16.0667,23.7727,157,3,9,12,55,19,2,6,9,179,112,0,0,0,3,10,13,67,181,120,0,0,0,32,0,0,0,0,14.1925,,64
540,Melker Karlsson,SJS,C,"LW,RW",0,,0,0,"RW,C",230.1,0,1,,29.3,27,2000000,12.7,15.2,970,68,48,9.9802,1.473,0.0464,11.4996,17.7848,335,13,11,24,104,72,12,10,22,81,63,11,1,0,11,9,20,93,71,54,34,27,61,31,0,0,0,2,12.3274,++,63.25
541,Vladimir Sobotka,BUF,L,"C,LW",0,,0,0,"C,LW",229.8,0,0,,32.3,31,3500000,7.4,7,970,63,53,12.1418,1.8915,0.1524,14.1857,19.1304,532,8,18,26,108,50,9,15,24,116,41,280,1,1,7,13,20,99,101,41,385,357,742,40,0,2,2,1,15.7726,++,63.25
542,Derek Grant,ANA,C,"C,LW",0,,0,0,"C,RW",230,0,0,,29.5,46,700000,6.8,5.4,987,50,18,9.9562,1.6381,0.0923,11.6866,17.3035,208,6,11,18,93,56,8,13,21,89,47,385,0,1,7,15,22,108,112,46,400,360,760,21,1,0,1,1,11.3682,,62.75
